?x	?p	?y
<http://purl.obolibrary.org/obo/CL_0000578>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/CL_0001034>
<http://purl.obolibrary.org/obo/CL_0000010>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/CL_0000578>
<http://purl.obolibrary.org/obo/CLO_0000031>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OBI_0100060>
<http://purl.obolibrary.org/obo/OBI_0100060>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OBI_0000047>
<http://purl.obolibrary.org/obo/CLO_0037224>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/CLO_0000001>
<http://purl.obolibrary.org/obo/CL_0001034>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/CL_0000000>
<http://purl.obolibrary.org/obo/CLO_0037280>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/CLO_0037279>
<http://purl.obolibrary.org/obo/CLO_0000001>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/CL_0000010>
<http://purl.obolibrary.org/obo/OBI_0001866>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/CL_0000010>
<http://purl.obolibrary.org/obo/CLO_0036932>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://www.ebi.ac.uk/cellline#UnspecifiedCellType>
<http://purl.obolibrary.org/obo/OBI_0001905>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/OBI_0100060>
<http://purl.obolibrary.org/obo/CLO_0037307>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/CLO_0037224>
<http://www.ebi.ac.uk/cellline#UnspecifiedCellType>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://purl.obolibrary.org/obo/CL_0000000>
